Age,Temperature
19048.7832,-8.52
19093.1367,-9.54
19139.2227,-9.34
19184.8809,-7.81
19225.7441,-9.55
19271.8945,-8.91
19317.1797,-9.96
19364.7051,-9.16
19411.0977,-9.75
19458.4141,-9.62
19506.4180,-10.19
19555.1719,-9.37
19602.9258,-10.19
19652.0020,-9.93
19700.2168,-8.94
19745.5742,-8.84
19789.5312,-8.53
19833.9238,-9.51
19880.9395,-10.43
19930.5176,-9.81
19979.2168,-9.40
20025.9492,-9.04
20071.9766,-9.46
20117.7188,-8.71
20163.3516,-9.79
20210.3184,-9.22
20257.0957,-9.53
20304.3652,-9.69
20352.4238,-9.72
20401.0352,-10.18
20450.2090,-8.92
20495.9707,-8.83
20540.7070,-9.31
20587.1621,-9.49
20634.5605,-9.65
20682.7129,-9.64
20730.7422,-9.03
20776.4121,-9.36
20823.2305,-9.41
20870.3926,-9.47
20917.7539,-9.39
20965.4648,-10.14
21014.8594,-9.25
21062.2578,-9.52
21109.1543,-8.74
21154.6133,-9.06
21201.1387,-10.02
21250.2695,-10.04
21299.6152,-9.20
21346.3184,-8.59
21390.1914,-7.92
21434.5781,-10.10
21482.3066,-9.71
21530.7148,-8.90
21577.6777,-9.64
21625.9883,-10.12
21675.7695,-9.57
21724.0586,-8.96
21770.1602,-8.72
21814.9258,-8.47
21859.1855,-9.42
21906.5254,-9.14
21953.1992,-9.60
22001.8184,-9.45
22049.8418,-9.82
22099.4609,-9.98
22149.8496,-9.67
22198.8359,-8.81
22244.4902,-10.04
22295.0820,-9.91
22345.2188,-8.36
22389.1641,-9.14
22435.8457,-9.41
22483.2734,-8.74
22529.3027,-9.22
22576.7812,-9.92
22625.6934,-9.00
22673.7930,-9.98
22723.0176,-9.36
22771.8242,-9.62
22820.5059,-9.39
22869.2500,-9.73
22918.4688,-9.55
22967.1543,-9.11
23013.8984,-8.43
23059.2910,-8.84
23104.0508,-8.23
23148.9297,-8.99
23194.9395,-9.19
23241.9062,-8.79
23288.9629,-10.25
23339.7246,-9.36
23388.4199,-8.95
23435.4512,-9.28
23483.0234,-8.69
23528.8184,-8.88
23575.1562,-9.05
23622.0527,-8.64
23667.7598,-8.95
23714.5371,-9.29
23762.5371,-9.36
23811.9004,-10.39
23864.0938,-9.95
23915.5000,-9.62
23965.4355,-9.52
24015.4004,-10.58
24069.1680,-9.68
24119.4922,-9.40
24168.3887,-9.05
24215.8613,-9.00
24263.4961,-9.76
24313.5820,-9.33
24362.8691,-10.07
24414.7129,-10.10
24466.8223,-7.98
